amostra_id;classe_id;sinal;sinalizador_id;repeticao;arquivo_relativo;resolucao_w;resolucao_h;fps;duracao_seg;hash_md5;iluminacao;ambiente;device_model;municipio;faixa_etaria;genero_opcional;observacoes
04-desculpa-sinalizador-01-2;04;desculpa;01;2;Sinalizador01/04-desculpa-sinalizador-01-2.mp4;848;480;30;3,78;17a178be9968d038e42647341548d2b9;boa;interna;;São Paulo;25-34;;
04-desculpa-sinalizador-01-3;04;desculpa;01;3;Sinalizador01/04-desculpa-sinalizador-01-3.mp4;848;480;30;4,76;6fabf0f4198dc9bc2453995765071aa6;boa;interna;;São Paulo;25-34;;
04-desculpa-sinalizador-01-4;04;desculpa;01;4;Sinalizador01/04-desculpa-sinalizador-01-4.mp4;848;480;30;3,78;285bb2c2af02b914f388be8127ae11fa;boa;interna;;São Paulo;25-34;;
04-desculpa-sinalizador-01-5;04;desculpa;01;5;Sinalizador01/04-desculpa-sinalizador-01-5.mp4;848;480;30;4,48;fb8c6d7bfbbcdb77f81c054c588722ae;boa;interna;;São Paulo;25-34;;
05-por favor-sinalizador-01-1;05;por favor;01;1;Sinalizador01/05-por favor-sinalizador-01-1.mp4;848;480;30;4,6;9cc1c30322023e1111bde6a503d810e1;boa;interna;;São Paulo;25-34;;
05-por favor-sinalizador-01-2;05;por favor;01;2;Sinalizador01/05-por favor-sinalizador-01-2.mp4;848;480;30;4,25;418298b09520a3ecd29705198184b704;boa;interna;;São Paulo;25-34;;
05-por favor-sinalizador-01-3;05;por favor;01;3;Sinalizador01/05-por favor-sinalizador-01-3.mp4;848;480;30;4,13;95f984bea408570ce1857dd2ad8b93f8;boa;interna;;São Paulo;25-34;;
05-por favor-sinalizador-01-4;05;por favor;01;4;Sinalizador01/05-por favor-sinalizador-01-4.mp4;464;832;30;5,02;1ee2d57301589b7299237e4ec9aa21a5;boa;interna;;São Paulo;25-34;;
05-por favor-sinalizador-01-5;05;por favor;01;5;Sinalizador01/05-por favor-sinalizador-01-5.mp4;464;832;30;5,06;16a8ceb3805040206008d857f3812f16;boa;interna;;São Paulo;25-34;;
06-agua-sinalizador-01-1;06;agua;01;1;Sinalizador01/06-agua-sinalizador-01-1.mp4;848;480;30;4,55;1b4b85c999f5f8ffe8e3e5894653b9c3;boa;interna;;São Paulo;25-34;;
06-agua-sinalizador-01-2;06;agua;01;2;Sinalizador01/06-agua-sinalizador-01-2.mp4;848;480;30;4,48;7bb71416d57069462315699963ef1725;boa;interna;;São Paulo;25-34;;
06-agua-sinalizador-01-3;06;agua;01;3;Sinalizador01/06-agua-sinalizador-01-3.mp4;848;480;30;4,46;7ebfef2aa9e3ea444950bfbfc7c4df86;boa;interna;;São Paulo;25-34;;
06-agua-sinalizador-01-4;06;agua;01;4;Sinalizador01/06-agua-sinalizador-01-4.mp4;848;480;30;4,44;8fb78186b7f901e9f873345d46929dfe;boa;interna;;São Paulo;25-34;;
06-agua-sinalizador-01-5;06;agua;01;5;Sinalizador01/06-agua-sinalizador-01-5.mp4;848;480;30;4,02;ee0b64e8bc048d80542793064a795365;boa;interna;;São Paulo;25-34;;
07-eu te amo-sinalizador-01-1;07;eu te amo;01;1;Sinalizador01/07-eu te amo-sinalizador-01-1.mp4;848;480;30;4,02;621ba726c485be31e199046873b5d405;boa;interna;;São Paulo;25-34;;
07-eu te amo-sinalizador-01-2;07;eu te amo;01;2;Sinalizador01/07-eu te amo-sinalizador-01-2.mp4;848;480;30;4,2;bce40513de24ba230b165b1b1cffadbf;boa;interna;;São Paulo;25-34;;
07-eu te amo-sinalizador-01-3;07;eu te amo;01;3;Sinalizador01/07-eu te amo-sinalizador-01-3.mp4;848;480;30;4,3;864ae7ef4812ea10b61e7a44dd70f071;boa;interna;;São Paulo;25-34;;
07-eu te amo-sinalizador-01-4;07;eu te amo;01;4;Sinalizador01/07-eu te amo-sinalizador-01-4.mp4;848;480;30;4,18;46b33c850f2a606bd4acb10509796c37;boa;interna;;São Paulo;25-34;;
07-eu te amo-sinalizador-01-5;07;eu te amo;01;5;Sinalizador01/07-eu te amo-sinalizador-01-5.mp4;848;480;30;4,3;c7df524b74aeffdd593eb23fb87337c7;boa;interna;;São Paulo;25-34;;
08-fome-sinalizador-01-1;08;fome;01;1;Sinalizador01/08-fome-sinalizador-01-1.mp4;848;480;30;4,46;6e08da7ea22a371f37a4e4594ed3aae9;boa;interna;;São Paulo;25-34;;
08-fome-sinalizador-01-2;08;fome;01;2;Sinalizador01/08-fome-sinalizador-01-2.mp4;848;480;30;4,44;7d818dc9087e32e4fcfb4b1112d0be05;boa;interna;;São Paulo;25-34;;
08-fome-sinalizador-01-3;08;fome;01;3;Sinalizador01/08-fome-sinalizador-01-3.mp4;464;832;30;4,25;b3203b196818f0c52dc06cd656c15c83;boa;interna;;São Paulo;25-34;;
08-fome-sinalizador-01-4;08;fome;01;4;Sinalizador01/08-fome-sinalizador-01-4.mp4;848;480;30;4,37;9a2eba72fb15a2a932e2efda8003347b;boa;interna;;São Paulo;25-34;;
08-fome-sinalizador-01-5;08;fome;01;5;Sinalizador01/08-fome-sinalizador-01-5.mp4;848;480;30;4,53;f1a5645f97e13695c88ab74ccc976247;boa;interna;;São Paulo;25-34;;
09-sede-sinalizador-01-1;09;sede;01;1;Sinalizador01/09-sede-sinalizador-01-1.mp4;464;832;30;3,76;d5a015f57899534f736ed8dabb8c434a;boa;interna;;São Paulo;25-34;;
09-sede-sinalizador-01-2;09;sede;01;2;Sinalizador01/09-sede-sinalizador-01-2.mp4;848;480;30;4,3;e9e255e79d7e61b2893334ad45a2d066;boa;interna;;São Paulo;25-34;;
09-sede-sinalizador-01-3;09;sede;01;3;Sinalizador01/09-sede-sinalizador-01-3.mp4;848;480;30;3,85;f109904eff365f1c82fefa50de38ad8c;boa;interna;;São Paulo;25-34;;
09-sede-sinalizador-01-4;09;sede;01;4;Sinalizador01/09-sede-sinalizador-01-4.mp4;848;480;30;4,13;ea57a2dbcaede9efaa5951e1b6722db4;boa;interna;;São Paulo;25-34;;
09-sede-sinalizador-01-5;09;sede;01;5;Sinalizador01/09-sede-sinalizador-01-5.mp4;848;480;30;3,99;254dda92e488ae72aad3ac7ea1a5547e;boa;interna;;São Paulo;25-34;;
10-banheiro-sinalizador-01-1;10;banheiro;01;1;Sinalizador01/10-banheiro-sinalizador-01-1.mp4;848;480;30;4,16;06e38b1adf1102fb20461a434cb1117c;boa;interna;;São Paulo;25-34;;
10-banheiro-sinalizador-01-2;10;banheiro;01;2;Sinalizador01/10-banheiro-sinalizador-01-2.mp4;848;480;30;4,06;5d48888784dc3345a1043a6aa6c07a1f;boa;interna;;São Paulo;25-34;;
10-banheiro-sinalizador-01-3;10;banheiro;01;3;Sinalizador01/10-banheiro-sinalizador-01-3.mp4;848;480;30;3,92;c0d68e927ef940e97547212a9c35258a;boa;interna;;São Paulo;25-34;;
10-banheiro-sinalizador-01-4;10;banheiro;01;4;Sinalizador01/10-banheiro-sinalizador-01-4.mp4;848;480;30;3,69;0b4518bd395da4776ee341c67057a7eb;boa;interna;;São Paulo;25-34;;
10-banheiro-sinalizador-01-5;10;banheiro;01;5;Sinalizador01/10-banheiro-sinalizador-01-5.mp4;464;832;30;3,83;0bbdfdfbeb0cadda40f49f9128ad6da6;boa;interna;;São Paulo;25-34;;
11-dinheiro-sinalizador-01-1;11;dinheiro;01;1;Sinalizador01/11-dinheiro-sinalizador-01-1.mp4;848;480;30;4,09;da1424ae0b61840db7f5b5fcc2d7db02;boa;interna;;São Paulo;25-34;;
11-dinheiro-sinalizador-01-2;11;dinheiro;01;2;Sinalizador01/11-dinheiro-sinalizador-01-2.mp4;848;480;30;4,32;dd89989e31c063f69d64f764cf75b63c;boa;interna;;São Paulo;25-34;;
11-dinheiro-sinalizador-01-3;11;dinheiro;01;3;Sinalizador01/11-dinheiro-sinalizador-01-3.mp4;848;480;30;4,09;9292e67152f6f0db7a86e4e23740f005;boa;interna;;São Paulo;25-34;;
11-dinheiro-sinalizador-01-4;11;dinheiro;01;4;Sinalizador01/11-dinheiro-sinalizador-01-4.mp4;848;480;30;4,25;55e9196d024689a8e8b0d73e597e8665;boa;interna;;São Paulo;25-34;;
11-dinheiro-sinalizador-01-5;11;dinheiro;01;5;Sinalizador01/11-dinheiro-sinalizador-01-5.mp4;848;480;30;4,3;70d98979b117838d607ddd1f3e520e46;boa;interna;;São Paulo;25-34;;
12-trabalho-sinalizador-01-1;12;trabalho;01;1;Sinalizador01/12-trabalho-sinalizador-01-1.mp4;848;480;30;4,09;d4feb23ba743b80eeec55c0210ffb6b7;boa;interna;;São Paulo;25-34;;
12-trabalho-sinalizador-01-2;12;trabalho;01;2;Sinalizador01/12-trabalho-sinalizador-01-2.mp4;848;480;30;4,02;4e2479add523c31f2f8f9b53cc08d421;boa;interna;;São Paulo;25-34;;
12-trabalho-sinalizador-01-3;12;trabalho;01;3;Sinalizador01/12-trabalho-sinalizador-01-3.mp4;464;832;30;4,46;eb000b883d8c46255f8c280cd3f0e94f;boa;interna;;São Paulo;25-34;;
12-trabalho-sinalizador-01-4;12;trabalho;01;4;Sinalizador01/12-trabalho-sinalizador-01-4.mp4;848;480;30;4,13;2acb092adf32196e36c5ee611f62a4aa;boa;interna;;São Paulo;25-34;;
12-trabalho-sinalizador-01-5;12;trabalho;01;5;Sinalizador01/12-trabalho-sinalizador-01-5.mp4;848;480;30;4,25;3a9f6ca9aaf32015e6dad2963c21c804;boa;interna;;São Paulo;25-34;;
13-casa-sinalizador-01-1;13;casa;01;1;Sinalizador01/13-casa-sinalizador-01-1.mp4;848;480;30;3,55;ace17e7902272c95d4cc8ccfbedcdefe;boa;interna;;São Paulo;25-34;;
13-casa-sinalizador-01-2;13;casa;01;2;Sinalizador01/13-casa-sinalizador-01-2.mp4;848;480;30;4,25;31d6c2c9a1356f11d9cf5b8521ca5aa6;boa;interna;;São Paulo;25-34;;
13-casa-sinalizador-01-3;13;casa;01;3;Sinalizador01/13-casa-sinalizador-01-3.mp4;848;480;30;4,18;79771dc489ea74a1288156e680f17118;boa;interna;;São Paulo;25-34;;
13-casa-sinalizador-01-4;13;casa;01;4;Sinalizador01/13-casa-sinalizador-01-4.mp4;848;480;30;3,78;79c66342349bc6edaad96ccb89901800;boa;interna;;São Paulo;25-34;;
13-casa-sinalizador-01-5;13;casa;01;5;Sinalizador01/13-casa-sinalizador-01-5.mp4;848;480;30;4,44;b31d668d984742378aa73815b623389a;boa;interna;;São Paulo;25-34;;
14-escola-sinalizador-01-1;14;escola;01;1;Sinalizador01/14-escola-sinalizador-01-1.mp4;848;480;30;4,16;fb8d979907fd6e7e01aeccbe1878220f;boa;interna;;São Paulo;25-34;;
14-escola-sinalizador-01-2;14;escola;01;2;Sinalizador01/14-escola-sinalizador-01-2.mp4;464;832;30;5,06;c9d0bbc46f7b8061402c8e1721acae83;boa;interna;;São Paulo;25-34;;
14-escola-sinalizador-01-3;14;escola;01;3;Sinalizador01/14-escola-sinalizador-01-3.mp4;848;480;30;4,23;b42da8131f8d20fc957887863bf6a1f0;boa;interna;;São Paulo;25-34;;
14-escola-sinalizador-01-4;14;escola;01;4;Sinalizador01/14-escola-sinalizador-01-4.mp4;848;480;30;3,85;f6ff5ce136a33674c90a386d5cb14d13;boa;interna;;São Paulo;25-34;;
14-escola-sinalizador-01-5;14;escola;01;5;Sinalizador01/14-escola-sinalizador-01-5.mp4;464;832;30;4,37;2f328a4970339ea3798f768aeee15746;boa;interna;;São Paulo;25-34;;
15-amigo-sinalizador-01-1;15;amigo;01;1;Sinalizador01/15-amigo-sinalizador-01-1.mp4;848;480;30;4,16;263134f3408cd713a60f61d2486c9584;boa;interna;;São Paulo;25-34;;
15-amigo-sinalizador-01-2;15;amigo;01;2;Sinalizador01/15-amigo-sinalizador-01-2.mp4;464;832;30;3,37;418dc606b9830f6f4e8416d3a8d48e48;boa;interna;;São Paulo;25-34;;
15-amigo-sinalizador-01-3;15;amigo;01;3;Sinalizador01/15-amigo-sinalizador-01-3.mp4;848;480;30;4,46;a8ec09b97a5ce7f5ffd29aaeb8b286de;boa;interna;;São Paulo;25-34;;
15-amigo-sinalizador-01-4;15;amigo;01;4;Sinalizador01/15-amigo-sinalizador-01-4.mp4;848;480;30;4,23;484ac16034b6c4f6abb956fd9e67f96e;boa;interna;;São Paulo;25-34;;
15-amigo-sinalizador-01-5;15;amigo;01;5;Sinalizador01/15-amigo-sinalizador-01-5.mp4;848;480;30;4,02;31df10c29209b1b9d203866aad8247ea;boa;interna;;São Paulo;25-34;;
16-saudade-sinalizador-01-1;16;saudade;01;1;Sinalizador01/16-saudade-sinalizador-01-1.mp4;848;480;30;4,37;78491580413fa4109c003b4cf1b016a0;boa;interna;;São Paulo;25-34;;
16-saudade-sinalizador-01-2;16;saudade;01;2;Sinalizador01/16-saudade-sinalizador-01-2.mp4;848;480;30;4,46;2d21644f844b9ee2dc5a8fbe885cd234;boa;interna;;São Paulo;25-34;;
16-saudade-sinalizador-01-3;16;saudade;01;3;Sinalizador01/16-saudade-sinalizador-01-3.mp4;848;480;30;4,55;2902e182189a598d2acc4a1dabfe3bf8;boa;interna;;São Paulo;25-34;;
16-saudade-sinalizador-01-4;16;saudade;01;4;Sinalizador01/16-saudade-sinalizador-01-4.mp4;848;480;30;4,25;bcc654e9c86b6f785663c7945ed7c5d1;boa;interna;;São Paulo;25-34;;
16-saudade-sinalizador-01-5;16;saudade;01;5;Sinalizador01/16-saudade-sinalizador-01-5.mp4;848;480;30;5,02;d211e982d67ae2ae2656fe152e1a8dec;boa;interna;;São Paulo;25-34;;
17-nome-sinalizador-01-1;17;nome;01;1;Sinalizador01/17-nome-sinalizador-01-1.mp4;848;480;30;3,9;3d5b1621cf963d8a77cd8f1eb7b5cc60;boa;interna;;São Paulo;25-34;;
17-nome-sinalizador-01-2;17;nome;01;2;Sinalizador01/17-nome-sinalizador-01-2.mp4;464;832;30;3,83;d268e11679ed8f720fe6e525555a23f5;boa;interna;;São Paulo;25-34;;
17-nome-sinalizador-01-3;17;nome;01;3;Sinalizador01/17-nome-sinalizador-01-3.mp4;848;480;30;4,16;cefe37cfc2208710a4a4d7eecff0acf6;boa;interna;;São Paulo;25-34;;
17-nome-sinalizador-01-4;17;nome;01;4;Sinalizador01/17-nome-sinalizador-01-4.mp4;464;832;30;3,55;83a9efadc00bc0858999c59ecda46b13;boa;interna;;São Paulo;25-34;;
17-nome-sinalizador-01-5;17;nome;01;5;Sinalizador01/17-nome-sinalizador-01-5.mp4;848;480;30;3,37;29a38e4ec509d4c86eabc928916efabc;boa;interna;;São Paulo;25-34;;
18-meu-sinalizador-01-1;18;meu;01;1;Sinalizador01/18-meu-sinalizador-01-1.mp4;848;480;30;3,99;d8391c4f653b2007c4be119b1424a67e;boa;interna;;São Paulo;25-34;;
18-meu-sinalizador-01-2;18;meu;01;2;Sinalizador01/18-meu-sinalizador-01-2.mp4;848;480;30;4,06;9dcf55f62da4283230668bd1c8531dd1;boa;interna;;São Paulo;25-34;;
18-meu-sinalizador-01-3;18;meu;01;3;Sinalizador01/18-meu-sinalizador-01-3.mp4;848;480;30;4,23;17f9b1df1417e34ff2bf777395245c42;boa;interna;;São Paulo;25-34;;
18-meu-sinalizador-01-4;18;meu;01;4;Sinalizador01/18-meu-sinalizador-01-4.mp4;848;480;30;4,39;eb8532c6557ae8cc83533282e3c3413d;boa;interna;;São Paulo;25-34;;
18-meu-sinalizador-01-5;18;meu;01;5;Sinalizador01/18-meu-sinalizador-01-5.mp4;464;832;30;4,18;8ab436d8f5744a497280b592cdafa5c5;boa;interna;;São Paulo;25-34;;
19-carro-sinalizador-01-1;19;carro;01;1;Sinalizador01/19-carro-sinalizador-01-1.mp4;848;480;30;3,97;d34b5c3f81c59181141f836c5d070d67;boa;interna;;São Paulo;25-34;;
19-carro-sinalizador-01-2;19;carro;01;2;Sinalizador01/19-carro-sinalizador-01-2.mp4;464;832;30;4,39;30a9c6957f2ad9d31edab651f6fd2bb1;boa;interna;;São Paulo;25-34;;
19-carro-sinalizador-01-3;19;carro;01;3;Sinalizador01/19-carro-sinalizador-01-3.mp4;848;480;30;3,83;c85d85b3c8abf321fd185918f7496ec9;boa;interna;;São Paulo;25-34;;
19-carro-sinalizador-01-4;19;carro;01;4;Sinalizador01/19-carro-sinalizador-01-4.mp4;848;480;30;4,06;25927430bf01701f04c77b11850ee006;boa;interna;;São Paulo;25-34;;
19-carro-sinalizador-01-5;19;carro;01;5;Sinalizador01/19-carro-sinalizador-01-5.mp4;848;480;30;4,18;e172d650330535a3690bb4b60f97fc76;boa;interna;;São Paulo;25-34;;
20-onibus-sinalizador-01-1;20;onibus;01;1;Sinalizador01/20-onibus-sinalizador-01-1.mp4;848;480;30;3,62;5e60681814edf5b30af55eafda3b366d;boa;interna;;São Paulo;25-34;;
20-onibus-sinalizador-01-2;20;onibus;01;2;Sinalizador01/20-onibus-sinalizador-01-2.mp4;848;480;30;4,48;fca8fb42d21c6ed76e058c644cefa98a;boa;interna;;São Paulo;25-34;;
20-onibus-sinalizador-01-3;20;onibus;01;3;Sinalizador01/20-onibus-sinalizador-01-3.mp4;848;480;30;3,99;4d4777961220d6ef9f15030d120aaa5a;boa;interna;;São Paulo;25-34;;
20-onibus-sinalizador-01-4;20;onibus;01;4;Sinalizador01/20-onibus-sinalizador-01-4.mp4;848;480;30;4,18;266db87d0ec1417176f94442aecd395f;boa;interna;;São Paulo;25-34;;
20-onibus-sinalizador-01-5;20;onibus;01;5;Sinalizador01/20-onibus-sinalizador-01-5.mp4;464;832;30;4,85;eba3faad76b3899d09b484405438aefe;boa;interna;;São Paulo;25-34;;
01-oi-sinalizador-02-1;01;oi;02;1;Sinalizador02/01-oi-sinalizador-02-1.mp4;478;850;30,01;5,93;33cf01ff75423f047bf3462d7b30e11a;boa;interna;;Santana de Parnaíba;35-44;;
01-oi-sinalizador-02-2;01;oi;02;2;Sinalizador02/01-oi-sinalizador-02-2.mp4;478;850;30,01;6,5;d9a6e28843e4a7bc2925368325306cef;boa;interna;;Santana de Parnaíba;35-44;;
01-oi-sinalizador-02-3;01;oi;02;3;Sinalizador02/01-oi-sinalizador-02-3.mp4;478;850;30,01;3,93;7646f3b403ca729823654890d3aff06d;boa;interna;;Santana de Parnaíba;35-44;;
01-oi-sinalizador-02-4;01;oi;02;4;Sinalizador02/01-oi-sinalizador-02-4.mp4;478;850;30,01;9,23;e5cd7d38ee965516e3477f3a9868a79a;boa;interna;;Santana de Parnaíba;35-44;;
01-oi-sinalizador-02-5;01;oi;02;5;Sinalizador02/01-oi-sinalizador-02-5.mp4;478;850;30,01;6,36;55b14544048c0076d661526226712295;boa;interna;;Santana de Parnaíba;35-44;;
02-tchau-sinalizador-02-1;02;tchau;02;1;Sinalizador02/02-tchau-sinalizador-02-1.mp4;478;850;30,01;8,36;938ba034db20ff3daba6ec393d90a031;boa;interna;;Santana de Parnaíba;35-44;;
02-tchau-sinalizador-02-2;02;tchau;02;2;Sinalizador02/02-tchau-sinalizador-02-2.mp4;478;850;30,01;7;080a8ab927acec505cf1325664015aa6;boa;interna;;Santana de Parnaíba;35-44;;
02-tchau-sinalizador-02-3;02;tchau;02;3;Sinalizador02/02-tchau-sinalizador-02-3.mp4;478;850;30,01;7,96;387ed6054cee20e66275ca702ba11b1d;boa;interna;;Santana de Parnaíba;35-44;;
02-tchau-sinalizador-02-4;02;tchau;02;4;Sinalizador02/02-tchau-sinalizador-02-4.mp4;478;850;30,01;7,16;0499e5d9ec5203aa839a018d468642e2;boa;interna;;Santana de Parnaíba;35-44;;
02-tchau-sinalizador-02-5;02;tchau;02;5;Sinalizador02/02-tchau-sinalizador-02-5.mp4;478;850;30,01;7,96;7821aa5c425ad7180f401e8cbb931212;boa;interna;;Santana de Parnaíba;35-44;;
03-obrigado-sinalizador-02-1;03;obrigado;02;1;Sinalizador02/03-obrigado-sinalizador-02-1.mp4;478;850;30,01;5,9;ab68247d9f9654a103dd38a25517a207;boa;interna;;Santana de Parnaíba;35-44;;
03-obrigado-sinalizador-02-2;03;obrigado;02;2;Sinalizador02/03-obrigado-sinalizador-02-2.mp4;478;850;29,86;6,63;60948500153fdec70876864637763e7f;boa;interna;;Santana de Parnaíba;35-44;;
03-obrigado-sinalizador-02-3;03;obrigado;02;3;Sinalizador02/03-obrigado-sinalizador-02-3.mp4;478;850;30,01;6,03;2057799bad03ee77fd5760518ed15ba0;boa;interna;;Santana de Parnaíba;35-44;;
03-obrigado-sinalizador-02-4;03;obrigado;02;4;Sinalizador02/03-obrigado-sinalizador-02-4.mp4;478;850;29,87;7,03;ba59e44c1a106fd8f6a18256540a5a79;boa;interna;;Santana de Parnaíba;35-44;;
03-obrigado-sinalizador-02-5;03;obrigado;02;5;Sinalizador02/03-obrigado-sinalizador-02-5.mp4;478;850;30,01;5,9;7337e09da579b4c9d381cde6e208756b;boa;interna;;Santana de Parnaíba;35-44;;
04-desculpa-sinalizador-02-1;04;desculpa;02;1;Sinalizador02/04-desculpa-sinalizador-02-1.mp4;478;850;30,01;6,17;cca458aa1242c04625696e9fe72b65d2;boa;interna;;Santana de Parnaíba;35-44;;
04-desculpa-sinalizador-02-2;04;desculpa;02;2;Sinalizador02/04-desculpa-sinalizador-02-2.mp4;478;850;30,01;6,26;5212b220e20d8e51925640e47244b2a0;boa;interna;;Santana de Parnaíba;35-44;;
04-desculpa-sinalizador-02-3;04;desculpa;02;3;Sinalizador02/04-desculpa-sinalizador-02-3.mp4;478;850;30,01;7,1;cd7cd0016e8003d24cfe6a5ffb1aab59;boa;interna;;Santana de Parnaíba;35-44;;
04-desculpa-sinalizador-02-4;04;desculpa;02;4;Sinalizador02/04-desculpa-sinalizador-02-4.mp4;478;850;30,01;5,93;5ec4eed5f92e11be837af732d4c8ba87;boa;interna;;Santana de Parnaíba;35-44;;
04-desculpa-sinalizador-02-5;04;desculpa;02;5;Sinalizador02/04-desculpa-sinalizador-02-5.mp4;478;850;30,01;6,2;c9134ca8b678c0fe5b62402967887108;boa;interna;;Santana de Parnaíba;35-44;;
05-por favor-sinalizador-02-1;05;por favor;02;1;Sinalizador02/05-por favor-sinalizador-02-1.mp4;478;850;30,01;7,83;410e29cd15eeda1beaea14279f695d7e;boa;interna;;Santana de Parnaíba;35-44;;
05-por favor-sinalizador-02-2;05;por favor;02;2;Sinalizador02/05-por favor-sinalizador-02-2.mp4;478;850;30,01;6,83;b12e5959ec5bcf348da0a62e9e27432c;boa;interna;;Santana de Parnaíba;35-44;;
05-por favor-sinalizador-02-3;05;por favor;02;3;Sinalizador02/05-por favor-sinalizador-02-3.mp4;478;850;30,01;7,33;9eb5c90b8191fc05fcdaef7b78d18aaa;boa;interna;;Santana de Parnaíba;35-44;;
05-por favor-sinalizador-02-4;05;por favor;02;4;Sinalizador02/05-por favor-sinalizador-02-4.mp4;478;850;30,01;7,06;af26c51be967bf7a6fff30e7c6015834;boa;interna;;Santana de Parnaíba;35-44;;
06-agua-sinalizador-02-1;06;agua;02;1;Sinalizador02/06-agua-sinalizador-02-1.mp4;478;850;30,01;6,33;e6ae52d0d4aaf46eb6955ee2e9271437;boa;interna;;Santana de Parnaíba;35-44;;
06-agua-sinalizador-02-2;06;agua;02;2;Sinalizador02/06-agua-sinalizador-02-2.mp4;478;850;29,71;6,73;e5e43f45b932a1a2cb1252ba60f14c70;boa;interna;;Santana de Parnaíba;35-44;;
06-agua-sinalizador-02-3;06;agua;02;3;Sinalizador02/06-agua-sinalizador-02-3.mp4;478;850;30,01;6,23;bfb26a0b056b937935e0977941f80598;boa;interna;;Santana de Parnaíba;35-44;;
06-agua-sinalizador-02-4;06;agua;02;4;Sinalizador02/06-agua-sinalizador-02-4.mp4;478;850;30,01;6,23;5d1d4ab3ca5a01177b78553f720d9804;boa;interna;;Santana de Parnaíba;35-44;;
06-agua-sinalizador-02-5;06;agua;02;5;Sinalizador02/06-agua-sinalizador-02-5.mp4;478;850;30,01;6,2;bc90f91e4e02f5f7218fb3625abd43a9;boa;interna;;Santana de Parnaíba;35-44;;
